"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.260000000E2,-8.809999824E-1,1.302000046E0,1.084099960E1
2.270000000E2,3.799999878E-2,1.838000059E0,9.307999611E0
2.280000000E2,1.529999971E-1,1.646999955E0,7.890999794E0
2.290000000E2,3.440000117E-1,-1.140000001E-1,8.388999939E0
2.300000000E2,1.570000052E0,-1.909999996E-1,9.500000000E0
2.310000000E2,1.225000024E0,1.149000049E0,1.091699982E1
2.320000000E2,-5.360000134E-1,2.259999990E0,9.538000107E0
2.330000000E2,0.000000000E0,2.068000078E0,7.163000107E0
2.340000000E2,-3.059999943E-1,3.829999864E-1,8.772000313E0
2.350000000E2,-2.680000067E-1,7.599999756E-2,1.003600025E1
2.360000000E2,5.740000010E-1,8.040000200E-1,1.107100010E1
2.370000000E2,3.059999943E-1,1.493999958E0,8.696000099E0
2.380000000E2,-4.210000038E-1,1.110000014E0,7.737999916E0
2.390000000E2,2.680000067E-1,4.210000038E-1,8.541999817E0
2.400000000E2,3.440000117E-1,4.210000038E-1,1.110900021E1
2.410000000E2,-8.040000200E-1,1.991999984E0,1.064900017E1
2.420000000E2,-3.059999943E-1,1.264000058E0,9.194000244E0
2.430000000E2,1.140000001E-1,6.119999886E-1,8.274000168E0
2.440000000E2,-1.034000039E0,4.210000038E-1,8.887000084E0
2.450000000E2,-6.510000229E-1,1.493999958E0,1.080300045E1
2.460000000E2,0.000000000E0,1.302000046E0,9.385000229E0
2.470000000E2,3.799999878E-2,8.040000200E-1,8.656999588E0
2.480000000E2,-3.059999943E-1,-4.589999914E-1,9.307999611E0
2.490000000E2,-3.829999864E-1,3.059999943E-1,1.076399994E1
2.500000000E2,-1.529999971E-1,1.034000039E0,1.275599957E1
2.510000000E2,-1.140000001E-1,1.914999962E0,9.883000374E0
2.520000000E2,-2.290000021E-1,2.029999971E0,7.737999916E0
2.530000000E2,6.510000229E-1,-3.829999864E-1,8.887000084E0
2.540000000E2,-5.360000134E-1,-2.680000067E-1,9.154999733E0
2.550000000E2,-6.890000105E-1,7.269999981E-1,1.030500031E1
2.560000000E2,-1.140000001E-1,1.417000055E0,1.095600033E1
2.570000000E2,-3.799999878E-2,1.914999962E0,9.232000351E0
2.580000000E2,2.290000021E-1,1.187000036E0,8.005999565E0
2.590000000E2,3.799999878E-2,6.890000105E-1,8.350999832E0
2.600000000E2,2.680000067E-1,8.040000200E-1,9.154999733E0
2.610000000E2,6.119999886E-1,7.599999756E-2,1.126200008E1
2.620000000E2,2.290000021E-1,6.119999886E-1,1.168400002E1
2.630000000E2,-1.909999996E-1,1.761999965E0,1.034300041E1
2.640000000E2,3.799999878E-2,1.302000046E0,9.154999733E0
2.650000000E2,1.529999971E-1,1.608000040E0,7.585000038E0
2.660000000E2,3.799999878E-2,4.979999959E-1,8.541999817E0
2.670000000E2,-6.510000229E-1,1.529999971E-1,9.576999664E0
2.680000000E2,-8.809999824E-1,4.210000038E-1,1.225800037E1
2.690000000E2,1.140000001E-1,3.799999878E-2,1.202799988E1
2.700000000E2,5.360000134E-1,8.040000200E-1,9.307999611E0
2.710000000E2,-1.909999996E-1,1.493999958E0,8.159000397E0
2.720000000E2,-1.909999996E-1,1.140000001E-1,9.079000473E0
2.730000000E2,9.190000296E-1,3.440000117E-1,9.767999649E0
2.740000000E2,1.140000001E-1,6.119999886E-1,1.202799988E1
2.750000000E2,-1.909999996E-1,1.302000046E0,1.030500031E1
2.760000000E2,3.799999878E-2,1.302000046E0,9.385000229E0
2.770000000E2,-2.290000021E-1,1.302000046E0,7.853000164E0
2.780000000E2,-5.740000010E-1,6.890000105E-1,8.963999748E0
2.790000000E2,0.000000000E0,1.034000039E0,1.087899971E1
2.800000000E2,2.290000021E-1,1.761999965E0,9.960000038E0
2.810000000E2,8.420000076E-1,1.034000039E0,8.772000313E0
2.820000000E2,3.829999864E-1,-3.799999878E-2,8.925000191E0
2.830000000E2,3.799999878E-2,-3.799999878E-2,1.084099960E1
2.840000000E2,7.599999756E-2,9.959999919E-1,1.103199959E1
2.850000000E2,-1.140000001E-1,1.914999962E0,9.347000122E0
2.860000000E2,-1.909999996E-1,3.440000117E-1,8.887000084E0
2.870000000E2,-1.072000027E0,0.000000000E0,1.114700031E1
2.880000000E2,2.290000021E-1,1.838000059E0,1.099400043E1
2.890000000E2,2.290000021E-1,9.959999919E-1,8.503999710E0
2.900000000E2,1.140000001E-1,-7.599999756E-2,8.581000328E0
2.910000000E2,8.040000200E-1,-3.799999878E-2,9.807000160E0
2.920000000E2,0.000000000E0,1.608000040E0,1.133899975E1
2.930000000E2,-4.589999914E-1,1.761999965E0,9.423000336E0
2.940000000E2,-6.510000229E-1,1.264000058E0,7.814000130E0
2.950000000E2,-6.510000229E-1,5.740000010E-1,8.005999565E0
2.960000000E2,-1.493999958E0,-4.210000038E-1,1.275599957E1
2.970000000E2,-3.059999943E-1,1.761999965E0,1.022799969E1
2.980000000E2,-1.909999996E-1,1.072000027E0,8.274000168E0
2.990000000E2,3.799999878E-2,-4.979999959E-1,9.385000229E0
3.000000000E2,-3.440000117E-1,4.979999959E-1,1.122399998E1
3.010000000E2,-1.225000024E0,1.110000014E0,1.187500000E1
3.020000000E2,-3.059999943E-1,1.378999949E0,8.734000206E0
3.030000000E2,-6.119999886E-1,3.059999943E-1,8.696000099E0
3.040000000E2,-7.659999728E-1,9.570000172E-1,8.848999977E0
3.050000000E2,1.529999971E-1,1.378999949E0,1.045800018E1
3.060000000E2,-3.799999878E-2,9.570000172E-1,8.427000046E0
3.070000000E2,-3.440000117E-1,2.290000021E-1,9.461999893E0
3.080000000E2,-4.210000038E-1,-3.440000117E-1,1.195199966E1
3.090000000E2,-4.210000038E-1,8.809999824E-1,1.057299995E1
3.100000000E2,0.000000000E0,1.149000049E0,8.005999565E0
3.110000000E2,-3.059999943E-1,2.290000021E-1,9.154999733E0
3.120000000E2,-3.829999864E-1,-8.809999824E-1,1.087899971E1
3.130000000E2,-3.799999878E-2,1.225000024E0,1.179899979E1
3.140000000E2,-1.529999971E-1,1.646999955E0,9.652999878E0
3.150000000E2,-2.680000067E-1,1.608000040E0,8.312000275E0
3.160000000E2,9.190000296E-1,7.269999981E-1,8.541999817E0
3.170000000E2,0.000000000E0,-8.040000200E-1,1.275599957E1
3.180000000E2,1.909999996E-1,1.264000058E0,9.960000038E0
