"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.431202200E1,-1.193227333E1,-7.707736333E1,9.427560279E1,9.898108244E-1,1.592500000E2,2.799999952E0,0.000000000E0
5.530620370E1,-1.193228167E1,-7.707736167E1,9.427562382E1,9.753986001E-1,1.586100006E2,2.799999952E0,0.000000000E0
5.631634277E1,-1.193229167E1,-7.707736167E1,9.427567129E1,1.056724668E0,1.629900055E2,2.799999952E0,0.000000000E0
5.731203462E1,-1.193230167E1,-7.707735833E1,9.417568169E1,1.024811983E0,1.607700043E2,2.799999952E0,0.000000000E0
5.831000946E1,-1.193231167E1,-7.707735833E1,9.417572917E1,1.007826090E0,1.638399963E2,2.799999952E0,0.000000000E0
5.931680031E1,-1.193232167E1,-7.707735667E1,9.417575810E1,1.021723628E0,1.610700073E2,2.700000048E0,0.000000000E0
6.031316462E1,-1.193233167E1,-7.707735500E1,9.407578704E1,1.041283011E0,1.617700043E2,2.700000048E0,0.000000000E0
6.130979793E1,-1.193234000E1,-7.707735333E1,9.407580806E1,1.011429191E0,1.632899933E2,2.700000048E0,0.000000000E0
6.231002416E1,-1.193234833E1,-7.707735333E1,9.407584762E1,9.326766729E-1,1.663699951E2,2.700000048E0,0.000000000E0
6.331140785E1,-1.193235667E1,-7.707734833E1,9.397583158E1,1.009370327E0,1.603699951E2,2.700000048E0,0.000000000E0
6.430981185E1,-1.193236500E1,-7.707734333E1,9.397581553E1,1.004737735E0,1.590399933E2,2.700000048E0,0.000000000E0
6.530996570E1,-1.193237500E1,-7.707734167E1,9.397584446E1,1.065989733E0,1.603099976E2,2.700000048E0,0.000000000E0
6.631478839E1,-1.193238333E1,-7.707734000E1,9.387586549E1,1.047974467E0,1.631000061E2,2.700000048E0,0.000000000E0
6.730982924E1,-1.193239167E1,-7.707733667E1,9.387586798E1,1.026356101E0,1.627799988E2,2.700000048E0,0.000000000E0
6.830541408E1,-1.193240000E1,-7.707733167E1,9.387585193E1,1.041797757E0,1.628099976E2,2.700000048E0,0.000000000E0
6.930779447E1,-1.193240833E1,-7.707732833E1,9.377585442E1,9.568685889E-1,1.641100006E2,2.700000048E0,0.000000000E0
7.030899162E1,-1.193241833E1,-7.707732500E1,9.377586482E1,1.065989733E0,1.651399994E2,2.700000048E0,0.000000000E0
7.131359947E1,-1.193243000E1,-7.707731833E1,9.367584605E1,1.185920000E0,1.622899933E2,2.700000048E0,0.000000000E0
7.231210847E1,-1.193243667E1,-7.707731167E1,9.367580356E1,1.121065021E0,1.589799957E2,2.700000048E0,0.000000000E0
7.330959985E1,-1.193244500E1,-7.707730667E1,9.357578751E1,1.113344193E0,1.593200073E2,2.700000048E0,0.000000000E0
7.430971354E1,-1.193245667E1,-7.707730167E1,9.357578728E1,1.124668002E0,1.599700012E2,2.700000048E0,0.000000000E0
7.531191716E1,-1.193246500E1,-7.707729667E1,9.357577123E1,1.060327768E0,1.591600037E2,2.799999952E0,0.000000000E0
7.631397031E1,-1.193247500E1,-7.707729167E1,9.347576310E1,1.166875243E0,1.556799927E2,2.799999952E0,0.000000000E0
7.731228508E1,-1.193248167E1,-7.707729167E1,9.337579475E1,1.017091155E0,1.634900055E2,2.799999952E0,0.000000000E0
7.831490224E1,-1.193248667E1,-7.707728667E1,9.337576287E1,9.470888972E-1,1.596900024E2,2.799999952E0,0.000000000E0
7.930974385E1,-1.193248833E1,-7.707728167E1,9.327571517E1,7.545827627E-1,1.549400024E2,2.799999952E0,0.000000000E0
8.030980131E1,-1.193248500E1,-7.707727167E1,9.327558813E1,6.372261047E-1,1.327899933E2,2.799999952E0,0.000000000E0
8.131638931E1,-1.193247833E1,-7.707725667E1,9.317538965E1,7.190669179E-1,9.901000214E1,2.799999952E0,0.000000000E0
8.230575547E1,-1.193247167E1,-7.707725167E1,9.317530239E1,6.861247420E-1,7.777999878E1,2.799999952E0,0.000000000E0
8.330978354E1,-1.193246833E1,-7.707724500E1,9.307521242E1,6.516383290E-1,7.387000275E1,2.799999952E0,0.000000000E0
8.430983547E1,-1.193246500E1,-7.707723167E1,9.307504830E1,8.513505459E-1,7.144999695E1,2.700000048E0,0.000000000E0
8.531112047E1,-1.193246000E1,-7.707722000E1,9.307489481E1,9.800311327E-1,6.783000183E1,2.700000048E0,0.000000000E0
8.631095947E1,-1.193245500E1,-7.707720500E1,9.297470424E1,1.130844712E0,6.890000153E1,2.700000048E0,0.000000000E0
8.731220308E1,-1.193245000E1,-7.707719500E1,9.297456928E1,1.067533851E0,6.708000183E1,2.599999905E0,0.000000000E0
8.830995593E1,-1.193244500E1,-7.707718500E1,9.287443432E1,1.084004998E0,6.675000000E1,2.599999905E0,0.000000000E0
8.931002562E1,-1.193244167E1,-7.707717833E1,9.287434435E1,1.046430230E0,6.491999817E1,2.700000048E0,0.000000000E0
9.030974970E1,-1.193243833E1,-7.707717167E1,9.277425438E1,9.697366953E-1,6.884999847E1,2.599999905E0,0.000000000E0
9.130997985E1,-1.193243500E1,-7.707716500E1,9.277416441E1,9.393680692E-1,7.058000183E1,2.700000048E0,0.000000000E0
9.231004831E1,-1.193243333E1,-7.707715667E1,9.277406381E1,9.609863758E-1,7.369999695E1,2.599999905E0,0.000000000E0
9.331212131E1,-1.193242833E1,-7.707714833E1,9.267394739E1,9.697366953E-1,7.066999817E1,2.599999905E0,0.000000000E0
9.431473654E1,-1.193242333E1,-7.707713667E1,9.267379390E1,1.099961400E0,6.794000244E1,2.599999905E0,0.000000000E0
9.531227439E1,-1.193241833E1,-7.707713000E1,9.267369601E1,1.063930869E0,7.059999847E1,2.599999905E0,0.000000000E0
9.631368332E1,-1.193241667E1,-7.707712000E1,9.257357688E1,1.069592834E0,7.751000214E1,2.599999905E0,0.000000000E0
9.731191462E1,-1.193241167E1,-7.707711333E1,9.257347900E1,1.065474987E0,7.166000366E1,2.599999905E0,0.000000000E0
9.830976416E1,-1.193241000E1,-7.707710500E1,9.257337840E1,1.026870847E0,7.405999756E1,2.599999905E0,0.000000000E0
9.931226508E1,-1.193240500E1,-7.707709667E1,9.247326198E1,1.083490252E0,6.961000061E1,2.599999905E0,0.000000000E0
1.003098531E2,-1.193240000E1,-7.707709000E1,9.247316410E1,1.100476146E0,6.591999817E1,2.500000000E0,0.000000000E0
